"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"93","Brian Dumoulin","SEA","D","80","1212.2833333333","1199","1026","53.89","831","732","53.17","558","500","52.74","39","38","50.65","49.45","41.26","54.52","566","434","56.60","203","169","54.57","20","20","50.00","363","265","57.80","12","13","48.00","704","646","52.15","7","5","58.33","6.99","92.40","0.994","148","210","142","1031","51.03","385","311","291","56.95"
"282","William Carrier","VGK","L","39","429.71666666667","464","397","53.89","336","270","55.45","235","176","57.18","14","11","56.00","22.44","14.81","60.23","234","169","58.06","113","61","64.94","8","6","57.14","121","108","52.84","4","4","50.00","238","246","49.17","2","1","66.67","5.96","93.75","0.997","63","143","74","347","45.99","103","190","123","45.58"
"306","Joel Hanley","CGY, DAL","D","42","556.05","570","488","53.88","383","343","52.75","247","238","50.93","21","18","53.85","22.39","19.4","53.58","260","199","56.64","108","80","57.45","12","9","57.14","152","119","56.09","8","7","53.33","329","316","51.01","1","2","33.33","8.50","92.44","1.009","66","132","93","503","41.51","147","186","188","43.88"
"754","Maxwell Crozier","T.B","D","13","166.45","153","131","53.87","108","87","55.38","64","64","50.00","6","8","42.86","6.32","4.35","59.20","68","56","54.84","27","14","65.85","4","5","44.44","41","42","49.40","2","3","40.00","81","77","51.27","0","0","-","9.38","87.50","0.969","11","32","24","157","31.43","29","48","40","42.03"
"878","Cutter Gauthier","ANA","L","1","15.4","14","12","53.85","10","8","55.56","7","6","53.85","1","0","100.00","0.39","0.63","38.42","4","6","40.00","1","2","33.33","0","0","-","3","4","42.86","1","0","100.00","11","7","61.11","0","0","-","14.29","100.00","1.143","4","5","1","9","80.00","7","5","2","77.78"
"61","Roman Josi","NSH","D","82","1543.8","1768","1516","53.84","1275","1072","54.32","882","778","53.13","82","63","56.55","81.31","65.8","55.27","832","719","53.64","340","278","55.02","44","26","62.86","492","441","52.73","23","22","51.11","1118","847","56.90","15","14","51.72","9.30","91.90","1.012","264","249","132","1100","66.67","649","457","377","63.26"
"635","Rasmus Dahlin","BUF","D","81","1609","1731","1486","53.81","1247","1060","54.05","871","703","55.34","64","64","50.00","71.59","68.9","50.96","789","722","52.22","308","304","50.33","29","33","46.77","481","418","53.50","22","17","56.41","1060","852","55.44","12","14","46.15","7.35","90.90","0.982","269","375","228","1060","54.12","630","532","471","57.22"
"802","Cole Perfetti","WPG","C","71","795.8","820","704","53.81","600","491","55.00","428","333","56.24","39","24","61.90","33.44","28.37","54.10","331","314","51.32","147","132","52.69","20","13","60.61","184","182","50.27","12","10","54.55","514","367","58.34","7","1","87.50","9.11","92.79","1.019","139","126","49","667","73.94","260","191","148","63.73"
"605","Sean Walker","COL, PHI","D","81","1292.4833333333","1514","1300","53.80","1095","872","55.67","777","599","56.47","71","59","54.62","64.62","54.24","54.37","665","617","51.87","297","247","54.60","38","33","53.52","368","370","49.86","24","17","58.54","857","756","53.13","9","9","50.00","9.14","90.15","0.993","139","217","172","1151","44.69","380","382","368","50.80"
"701","Alex Turcotte","L.A","C","20","181.91666666667","185","159","53.78","135","104","56.49","88","71","55.35","9","4","69.23","7.51","5.94","55.83","84","74","53.16","34","30","53.13","5","3","62.50","50","44","53.19","3","0","100.00","100","96","51.02","1","1","50.00","10.23","94.37","1.046","32","36","23","166","58.18","51","53","53","49.04"
"211","Filip Forsberg","NSH","L","82","1154.75","1327","1141","53.77","947","806","54.02","665","577","53.54","64","47","57.66","60.71","48.35","55.67","622","541","53.48","262","201","56.59","42","21","66.67","360","340","51.43","13","18","41.94","844","642","56.80","9","7","56.25","9.62","91.85","1.015","254","243","131","906","65.97","486","361","310","61.06"
"610","Pius Suter","VAN","C","67","807.8","792","681","53.77","550","488","52.99","360","332","52.02","39","20","66.10","35.17","29.16","54.67","396","289","57.81","182","123","59.67","22","12","64.71","214","166","56.32","11","4","73.33","431","441","49.43","6","4","60.00","10.83","93.98","1.048","122","151","113","711","51.91","220","228","223","49.66"
"169","Nikita Kucherov","T.B","R","81","1307.5833333333","1460","1256","53.76","1057","918","53.52","709","663","51.68","81","76","51.59","65.59","60.04","52.21","710","611","53.75","288","255","53.04","45","39","53.57","422","356","54.24","24","24","50.00","845","658","56.22","12","12","50.00","11.42","88.54","1.000","247","220","114","939","68.42","462","337","268","63.29"
"502","Filip Hronek","VAN","D","81","1506.85","1560","1342","53.76","1075","1017","51.39","714","712","50.07","85","55","60.71","71.09","65.69","51.97","758","639","54.26","313","314","49.92","52","34","60.47","445","325","57.79","22","15","59.46","980","766","56.13","11","6","64.71","11.90","92.28","1.042","235","274","161","1069","59.34","542","423","381","58.72"
"460","Adam Fox","NYR","D","72","1232.9166666667","1299","1120","53.70","956","801","54.41","645","547","54.11","56","38","59.57","56.07","51.56","52.10","612","536","53.31","241","217","52.62","21","18","53.85","371","319","53.77","17","16","51.52","819","638","56.21","18","4","81.82","8.68","93.05","1.017","213","217","169","848","55.76","489","359","342","58.84"
"758","Nikita Nesterenko","ANA","C","3","34.433333333333","29","25","53.70","20","21","48.78","13","12","52.00","1","1","50.00","1.47","1.28","53.49","12","13","48.00","5","5","50.00","1","1","50.00","7","8","46.67","0","0","-","18","18","50.00","0","0","-","7.69","91.67","0.994","3","8","6","31","33.33","5","11","9","35.71"
"418","Mitchell Marner","TOR","R","69","1006.25","1076","928","53.69","753","652","53.59","496","419","54.21","56","37","60.22","47.95","42.71","52.89","540","435","55.38","225","187","54.61","33","18","64.71","315","248","55.95","17","15","53.13","622","511","54.90","6","4","60.00","11.29","91.17","1.025","168","254","121","678","58.13","336","363","265","55.91"
"442","Vladislav Gavrikov","L.A","D","77","1328.3","1454","1254","53.69","1080","877","55.19","760","609","55.51","62","55","52.99","63.97","53.56","54.43","642","574","52.80","255","212","54.60","36","26","58.06","387","362","51.67","17","18","48.57","877","741","54.20","9","11","45.00","8.16","90.97","0.991","136","228","179","900","43.17","390","377","397","49.56"
"353","Devon Toews","COL","D","82","1468.6","1595","1377","53.67","1119","979","53.34","784","686","53.33","79","60","56.83","69.1","56.27","55.12","763","591","56.35","316","248","56.03","36","34","51.43","447","343","56.58","32","16","66.67","1021","827","55.25","11","10","52.38","10.08","91.25","1.013","297","309","173","852","63.19","648","479","409","61.31"
"283","Tyler Bertuzzi","TOR","L","80","1117.9166666667","1268","1095","53.66","882","775","53.23","624","515","54.78","59","48","55.14","60.91","48.21","55.82","676","531","56.01","287","208","57.98","34","26","56.67","389","323","54.63","17","11","60.71","717","592","54.77","8","11","42.11","9.46","90.68","1.001","209","277","124","755","62.76","373","384","269","58.10"
"906","Andrei Kuzmenko","CGY, VAN","L","72","815.65","854","738","53.64","613","552","52.62","402","394","50.50","42","39","51.85","37.65","33.89","52.63","403","342","54.09","180","144","55.56","19","16","54.29","223","198","52.97","9","18","33.33","511","423","54.71","14","5","73.68","10.45","90.10","1.005","164","151","63","725","72.25","297","217","157","65.42"
"445","Matt Roy","L.A","D","81","1390.4333333333","1531","1324","53.63","1130","906","55.50","791","628","55.74","64","50","56.14","67.43","53.91","55.57","650","564","53.54","260","198","56.77","41","22","65.08","390","366","51.59","16","16","50.00","943","804","53.98","7","12","36.84","8.09","92.04","1.001","139","260","182","971","43.30","403","430","406","49.81"
"548","Nico Hischier","N.J","C","71","957.28333333333","1063","919","53.63","753","684","52.40","507","491","50.80","55","50","52.38","54.55","46.21","54.14","539","441","55.00","222","196","53.11","29","25","53.70","317","245","56.41","19","18","51.35","626","532","54.06","7","7","50.00","10.85","89.82","1.007","201","310","189","684","51.54","327","402","333","49.55"
"649","Nils Lundkvist","DAL","D","59","760.66666666667","856","740","53.63","592","540","52.30","391","362","51.93","39","25","60.94","33.72","29.63","53.23","386","313","55.22","157","126","55.48","15","16","48.39","229","187","55.05","18","5","78.26","553","435","55.97","6","4","60.00","9.97","93.09","1.031","138","152","91","644","60.26","303","238","203","59.88"
"252","MacKenzie Weegar","CGY","D","82","1454.45","1635","1414","53.62","1144","985","53.73","770","695","52.56","65","68","48.87","66.65","64.06","50.99","703","689","50.50","277","284","49.38","29","34","46.03","426","405","51.26","17","21","44.74","997","804","55.36","19","13","59.38","8.44","90.22","0.987","182","300","202","1300","47.40","518","489","439","54.13"
"336","Brendan Lemieux","CAR","L","32","254.38333333333","245","212","53.61","160","163","49.54","109","123","46.98","11","11","50.00","10.09","10.71","48.50","95","101","48.47","44","48","47.83","6","4","60.00","51","53","49.04","4","7","36.36","147","116","55.89","1","0","100.00","10.09","91.06","1.011","39","56","13","230","75.00","76","77","52","59.38"
"795","Lukas Cormier","VGK","D","2","28.366666666667","30","26","53.57","19","18","51.35","13","13","50.00","1","0","100.00","1.33","0.88","60.21","16","10","61.54","10","5","66.67","1","0","100.00","6","5","54.55","0","0","-","15","17","46.88","0","0","-","7.69","100.00","1.077","3","6","4","21","42.86","8","11","6","57.14"
"335","Adrian Kempe","L.A","R","77","1007.4166666667","1035","899","53.52","725","648","52.80","503","450","52.78","47","34","58.02","41.46","39.63","51.13","460","420","52.27","179","169","51.44","29","21","58.00","281","251","52.82","9","7","56.25","651","540","54.66","9","6","60.00","9.34","92.44","1.018","178","216","152","716","53.94","344","312","341","50.22"
"157","Vincent Trocheck","NYR","C","82","1239.6166666667","1408","1224","53.50","1028","897","53.40","688","635","52.00","65","54","54.62","62.73","56.61","52.56","693","575","54.65","269","240","52.85","27","34","44.26","424","335","55.86","22","16","57.89","833","687","54.80","16","4","80.00","9.45","91.50","1.009","242","198","199","904","54.88","432","308","388","52.68"
"730","Shane Pinto","OTT","C","41","587.01666666667","667","581","53.45","482","399","54.71","322","265","54.86","24","22","52.17","30.4","23.46","56.44","319","262","54.91","126","96","56.76","9","12","42.86","193","166","53.76","13","9","59.09","381","340","52.84","2","1","66.67","7.45","91.70","0.992","98","148","64","460","60.49","193","202","157","55.14"
"782","Jake Sanderson","OTT","D","79","1274.45","1356","1181","53.45","975","824","54.20","675","593","53.23","57","55","50.89","57.53","50.6","53.20","598","552","52.00","242","221","52.27","37","31","54.41","356","331","51.82","14","16","46.67","806","690","53.88","6","8","42.86","8.44","90.73","0.992","155","300","168","1017","47.99","381","475","381","50.00"
"532","Kailer Yamamoto","SEA","R","59","566.2","562","491","53.37","381","349","52.19","248","240","50.82","15","18","45.45","21.15","21.75","49.31","242","208","53.78","81","101","44.51","9","10","47.37","161","107","60.07","5","3","62.50","320","289","52.55","1","5","16.67","6.05","92.50","0.985","78","97","57","509","57.78","140","139","116","54.69"
"499","Tage Thompson","BUF","C","71","953.6","1042","912","53.33","750","662","53.12","533","447","54.39","46","36","56.10","42.35","42.62","49.84","466","449","50.93","161","193","45.48","24","19","55.81","305","256","54.37","15","11","57.69","628","522","54.61","6","6","50.00","8.63","91.95","1.006","199","245","126","624","61.23","356","316","261","57.70"
"512","Brandon Hagel","T.B","L","82","1217.1833333333","1282","1122","53.33","909","802","53.13","621","569","52.18","65","67","49.24","57.68","49.4","53.87","626","527","54.29","242","201","54.63","27","28","49.09","384","326","54.08","28","28","50.00","705","632","52.73","10","10","50.00","10.47","88.22","0.987","179","284","156","844","53.43","326","398","314","50.94"
"14","Anze Kopitar","L.A","C","81","1100.05","1131","991","53.30","789","704","52.85","553","490","53.02","51","40","56.04","45.88","40.93","52.85","494","446","52.55","199","174","53.35","32","23","58.18","295","272","52.03","11","9","55.00","697","610","53.33","8","8","50.00","9.22","91.84","1.011","181","233","160","763","53.08","357","334","374","48.84"
"234","Brett Kulak","EDM","D","82","1162.2","1140","1000","53.27","799","700","53.30","567","483","54.00","45","44","50.56","54.58","42.1","56.45","554","462","54.53","263","182","59.10","31","22","58.49","291","280","50.96","7","18","28.00","640","575","52.67","7","4","63.64","7.94","90.89","0.988","149","250","142","841","51.20","328","382","325","50.23"
"704","Nils Hoglander","VAN","L","80","910.8","900","790","53.25","640","567","53.02","423","381","52.61","52","29","64.20","41.08","34.32","54.48","418","351","54.36","194","143","57.57","34","14","70.83","224","208","51.85","10","13","43.48","492","477","50.77","8","2","80.00","12.29","92.39","1.047","125","179","109","891","53.42","228","263","241","48.61"
"70","Jared Spurgeon","MIN","D","16","242.66666666667","255","224","53.24","180","152","54.22","117","96","54.93","12","7","63.16","9.85","8.15","54.73","116","106","52.25","40","30","57.14","4","1","80.00","76","76","50.00","5","1","83.33","145","153","48.66","3","5","37.50","10.26","92.71","1.030","38","31","41","204","48.10","81","56","91","47.09"
"75","Ryan O'Reilly","NSH","C","82","1098.7","1228","1080","53.21","874","769","53.20","612","545","52.90","57","47","54.81","55.27","46.51","54.30","575","519","52.56","238","184","56.40","38","25","60.32","337","335","50.15","12","16","42.86","797","607","56.77","7","5","58.33","9.31","91.38","1.007","247","218","125","814","66.40","462","328","299","60.71"
"692","Blake Lizotte","L.A","C","62","612.81666666667","639","562","53.21","441","395","52.75","318","280","53.18","22","16","57.89","24.64","22.29","52.51","263","247","51.57","99","92","51.83","9","8","52.94","164","155","51.41","8","4","66.67","368","315","53.88","5","4","55.56","6.92","94.29","1.012","88","128","78","542","53.01","164","184","145","53.07"
"511","Axel Jonsson-Fjallby","WPG","L","26","204.68333333333","200","176","53.19","138","117","54.12","86","75","53.42","7","2","77.78","7.51","6.59","53.26","90","79","53.25","29","30","49.15","2","1","66.67","61","49","55.45","4","0","100.00","103","96","51.76","1","1","50.00","8.14","97.33","1.055","16","45","30","196","34.78","30","66","54","35.71"
"431","Derek Ryan","EDM","C","70","589.16666666667","543","478","53.18","367","330","52.65","262","234","52.82","11","18","37.93","23.01","19.84","53.69","241","213","53.08","106","85","55.50","7","11","38.89","135","128","51.33","3","6","33.33","324","318","50.47","1","1","50.00","4.20","92.31","0.965","85","160","127","517","40.09","149","214","206","41.97"
"354","Viktor Arvidsson","L.A","R","18","228.1","243","214","53.17","187","149","55.65","135","93","59.21","12","8","60.00","11.34","9.77","53.70","108","98","52.43","45","47","48.91","4","5","44.44","63","51","55.26","2","2","50.00","158","127","55.44","6","1","85.71","8.89","91.40","1.003","33","59","25","171","56.90","68","75","51","57.14"
"102","Erik Haula","N.J","L","76","995.85","1024","903","53.14","719","652","52.44","511","439","53.79","43","43","50.00","48.56","38.92","55.51","476","431","52.48","193","161","54.52","26","24","52.00","283","270","51.18","12","15","44.44","636","531","54.50","5","4","55.56","8.41","90.21","0.986","166","234","166","802","50.00","309","315","310","49.92"
"139","Nino Niederreiter","WPG","R","77","980.71666666667","1038","917","53.09","739","661","52.79","493","461","51.68","37","24","60.66","47.76","36.35","56.78","482","393","55.09","208","165","55.76","22","14","61.11","274","228","54.58","9","7","56.25","554","603","47.88","6","3","66.67","7.51","94.79","1.023","129","286","174","667","42.57","211","380","343","38.09"
"909","Zach Benson","BUF","L","71","886.48333333333","906","803","53.01","648","579","52.81","461","397","53.73","35","38","47.95","37.94","36.08","51.25","423","393","51.84","159","168","48.62","17","21","44.74","264","225","53.99","14","14","50.00","537","435","55.25","4","3","57.14","7.59","90.43","0.980","157","179","111","658","58.58","244","232","215","53.16"
"48","Ryan McDonagh","NSH","D","74","1256.5166666667","1395","1237","53.00","991","871","53.22","687","618","52.64","53","42","55.79","64.41","49.42","56.59","689","546","55.79","290","190","60.42","32","21","60.38","399","356","52.85","10","16","38.46","804","748","51.80","11","5","68.75","7.71","93.20","1.009","149","257","140","931","51.56","445","420","341","56.62"
"62","Justin Schultz","SEA","D","70","948.81666666667","945","838","53.00","653","594","52.37","424","391","52.02","25","39","39.06","36.04","33.57","51.78","436","365","54.43","145","149","49.32","12","19","38.71","291","216","57.40","8","12","40.00","555","497","52.76","5","8","38.46","5.90","90.03","0.959","125","159","110","899","53.19","304","254","216","58.46"
"292","Darnell Nurse","EDM","D","81","1416.7","1545","1370","53.00","1096","1013","51.97","767","709","51.96","60","60","50.00","72.89","62.53","53.82","757","665","53.23","331","262","55.82","31","35","46.97","426","403","51.39","20","19","51.28","842","774","52.10","9","6","60.00","7.82","91.54","0.994","184","315","177","873","50.97","411","458","414","49.82"
"140","Bryan Rust","PIT","R","62","894.18333333333","1082","960","52.99","805","731","52.41","555","497","52.76","60","56","51.72","55.55","44.55","55.50","532","468","53.20","235","179","56.76","31","29","51.67","297","289","50.68","16","18","47.06","660","528","55.56","13","9","59.09","10.81","88.73","0.995","180","245","97","675","64.98","356","359","250","58.75"
"265","Oliver Bjorkstrand","SEA","R","82","1066.3166666667","1158","1028","52.97","790","769","50.67","515","517","49.90","41","45","47.67","47.44","41.83","53.15","528","456","53.66","198","173","53.37","26","24","52.00","330","283","53.83","6","11","35.29","668","634","51.31","9","10","47.37","7.96","91.30","0.993","176","235","139","797","55.87","319","315","288","52.55"
"818","Radim Zohorna","PIT","L","33","293.51666666667","313","278","52.96","228","206","52.53","164","133","55.22","11","10","52.38","14.73","12.86","53.38","152","139","52.23","71","55","56.35","6","8","42.86","81","84","49.09","3","2","60.00","155","160","49.21","2","0","100.00","6.71","92.48","0.992","23","53","57","282","28.75","50","74","103","32.68"
"573","Cale Makar","COL","D","77","1304.0833333333","1435","1276","52.93","1012","909","52.68","718","646","52.64","72","64","52.94","58.68","52.67","52.70","687","551","55.49","259","222","53.85","33","35","48.53","428","329","56.54","26","18","59.09","946","753","55.68","13","11","54.17","10.03","90.09","1.001","327","287","140","748","70.02","648","428","352","64.80"
"569","Dylan Samberg","WPG","D","78","1046.95","1027","914","52.91","731","643","53.20","508","440","53.59","36","23","61.02","42.87","39.62","51.97","431","393","52.31","182","176","50.84","18","11","62.07","249","217","53.43","12","9","57.14","586","541","52.00","6","3","66.67","7.09","94.77","1.019","117","211","112","936","51.09","252","312","257","49.51"
"741","Ilya Mikheyev","VAN","R","78","946.18333333333","923","822","52.89","655","584","52.87","423","403","51.21","41","37","52.56","39.72","34.58","53.46","434","358","54.80","198","165","54.55","22","20","52.38","236","193","55.01","9","11","45.00","536","504","51.54","10","6","62.50","9.69","90.82","1.005","138","168","120","850","53.49","270","235","256","51.33"
"884","Tristan Luneau","ANA","D","7","112.3","110","98","52.88","75","76","49.67","55","52","51.40","5","4","55.56","4.44","6.4","40.95","52","54","49.06","19","30","38.78","3","4","42.86","33","24","57.89","2","0","100.00","69","51","57.50","0","0","-","9.09","92.31","1.014","16","22","15","76","51.61","40","26","31","56.34"
"509","Ross Colton","COL","C","80","933.65","1076","959","52.87","759","669","53.15","516","464","52.65","41","46","47.13","47.02","41.37","53.20","508","432","54.04","228","176","56.44","20","31","39.22","280","256","52.24","13","10","56.52","570","579","49.61","8","5","61.54","7.95","90.09","0.980","124","228","167","792","42.61","217","308","337","39.17"
"819","Artem Zub","OTT","D","69","1196.3333333333","1245","1110","52.87","900","788","53.32","622","548","53.16","53","55","49.07","52.65","47.67","52.49","534","519","50.71","220","194","53.14","37","26","58.73","314","325","49.14","12","21","36.36","737","645","53.33","4","8","33.33","8.52","89.96","0.985","129","268","146","924","46.91","346","420","340","50.44"
"297","Josh Morrissey","WPG","D","81","1605.4833333333","1698","1515","52.85","1284","1124","53.32","890","791","52.94","83","47","63.85","77.4","68.17","53.17","799","690","53.66","335","318","51.30","51","29","63.75","464","372","55.50","29","13","69.05","1056","870","54.83","3","5","37.50","9.33","94.06","1.034","283","282","195","1163","59.21","649","467","425","60.43"
"554","Elias Pettersson","VAN","C","82","1089.9","1078","962","52.84","765","694","52.43","502","476","51.33","67","47","58.77","48.11","43.62","52.45","532","441","54.68","241","195","55.28","44","26","62.86","291","246","54.19","14","16","46.67","644","576","52.79","9","5","64.29","13.35","90.13","1.035","191","204","144","943","57.01","347","300","302","53.47"
"683","Egor Zamula","PHI","D","66","927.46666666667","940","839","52.84","655","560","53.91","463","379","54.99","37","36","50.68","33.79","35.97","48.44","392","383","50.58","155","159","49.36","20","18","52.63","237","224","51.41","14","13","51.85","574","463","55.35","3","5","37.50","7.99","90.50","0.985","114","122","109","882","51.12","266","214","216","55.19"
"811","JJ Peterka","BUF","R","82","1135.0833333333","1203","1075","52.81","867","770","52.96","626","514","54.91","61","46","57.01","52.03","49.07","51.46","548","536","50.55","211","221","48.84","28","25","52.83","337","315","51.69","28","9","75.68","687","597","53.50","5","12","29.41","9.74","91.05","1.008","183","242","132","812","58.10","329","311","284","53.67"
"497","Michael McLeod","N.J","C","45","595.98333333333","617","552","52.78","437","385","53.16","310","271","53.36","35","22","61.40","27.91","23.03","54.78","272","260","51.13","124","116","51.67","19","16","54.29","148","144","50.68","12","4","75.00","355","296","54.53","4","2","66.67","11.29","91.88","1.032","84","163","139","458","37.67","147","207","232","38.79"
"25","Trevor Lewis","L.A","C","82","792.15","804","720","52.76","552","489","53.03","383","333","53.49","24","21","53.33","31.87","28.98","52.38","337","336","50.07","129","127","50.39","11","11","50.00","208","209","49.88","10","6","62.50","449","402","52.76","3","4","42.86","6.27","93.69","1.000","133","159","102","703","56.60","228","226","193","54.16"
"171","Jonathan Huberdeau","CGY","C","81","1107.9666666667","1240","1116","52.63","856","777","52.42","585","538","52.09","41","50","45.05","50.91","48.68","51.12","561","519","51.94","212","209","50.36","21","20","51.22","349","310","52.96","12","23","34.29","785","626","55.63","8","7","53.33","7.01","90.71","0.977","228","239","132","887","63.33","461","365","277","62.47"
"247","Nate Schmidt","WPG","D","63","888.65","871","784","52.63","621","538","53.58","426","359","54.27","31","23","57.41","37.37","30.37","55.17","386","332","53.76","159","140","53.18","11","15","42.31","227","192","54.18","13","2","86.67","485","469","50.84","7","6","53.85","7.28","93.59","1.009","120","178","108","749","52.63","228","269","204","52.78"
"438","Kirill Kaprizov","MIN","L","75","1203.3333333333","1252","1127","52.63","908","808","52.91","614","575","51.64","72","57","55.81","57.04","44.81","56.00","598","507","54.12","269","192","58.35","41","22","65.08","329","315","51.09","23","21","52.27","715","669","51.66","8","14","36.36","11.73","90.09","1.018","217","277","109","711","66.56","441","391","285","60.74"
"185","Vladislav Namestnikov","WPG","C","78","891.48333333333","896","807","52.61","667","575","53.70","460","412","52.75","45","32","58.44","38.26","33.62","53.23","381","343","52.62","162","149","52.09","21","19","52.50","219","194","53.03","15","7","68.18","532","473","52.94","9","6","60.00","9.78","92.23","1.020","160","157","85","714","65.31","282","231","194","59.24"
"56","Luke Schenn","NSH","D","63","846.95","900","811","52.60","628","588","51.64","445","413","51.86","26","31","45.61","36.71","34.46","51.58","428","363","54.11","166","156","51.55","16","14","53.33","262","207","55.86","8","10","44.44","513","468","52.29","2","7","22.22","5.84","92.49","0.983","101","183","95","748","51.53","254","289","215","54.16"
"739","Vasily Podkolzin","VAN","R","19","192.18333333333","193","174","52.59","135","124","52.12","87","92","48.60","5","9","35.71","7.4","7.53","49.57","85","66","56.29","42","29","59.15","1","3","25.00","43","37","53.75","2","3","40.00","124","108","53.45","2","3","40.00","5.75","90.22","0.960","27","27","21","205","56.25","53","47","45","54.08"
"158","Adam Lowry","WPG","C","81","1042.65","1069","964","52.58","792","689","53.48","548","477","53.46","38","21","64.41","51.6","38.34","57.37","511","397","56.28","229","160","58.87","26","11","70.27","282","237","54.34","8","8","50.00","579","672","46.28","4","2","66.67","6.93","95.60","1.025","143","337","201","742","41.57","240","437","405","37.21"
"492","Pierre-Luc Dubois","L.A","C","82","1061.4","1090","983","52.58","819","705","53.74","545","473","53.54","41","45","47.67","50.29","43.05","53.88","520","449","53.66","197","187","51.30","21","25","45.65","323","262","55.21","12","12","50.00","660","571","53.61","8","8","50.00","7.52","90.49","0.980","181","195","120","825","60.13","342","295","279","55.07"
"67","Gustav Nyquist","NSH","C","81","1057.4166666667","1218","1101","52.52","876","798","52.33","614","565","52.08","56","46","54.90","55.39","49.12","53.00","558","527","51.43","235","197","54.40","37","25","59.68","323","330","49.46","11","17","39.29","795","607","56.70","8","3","72.73","9.12","91.86","1.010","246","225","124","789","66.49","450","325","279","61.73"
"83","Nazem Kadri","CGY","C","82","1159.3666666667","1263","1142","52.52","896","811","52.49","612","563","52.09","60","47","56.07","52.58","49.27","51.63","557","539","50.82","236","223","51.42","34","22","60.71","321","316","50.39","11","18","37.93","778","622","55.57","15","6","71.43","9.80","91.65","1.015","213","238","109","921","66.15","421","381","262","61.64"
"718","Ryan Johnson","BUF","D","41","547.15","544","492","52.51","385","359","51.75","263","236","52.71","22","17","56.41","22.88","21.51","51.54","251","231","52.07","96","84","53.33","7","12","36.84","155","147","51.32","9","2","81.82","303","278","52.15","6","3","66.67","8.37","92.80","1.012","83","105","50","445","62.41","154","151","107","59.00"
"768","Connor Zary","CGY","C","63","809.25","868","785","52.51","613","546","52.89","418","391","51.67","43","28","60.56","33.85","31.39","51.89","372","369","50.20","147","149","49.66","27","13","67.50","225","220","50.56","8","9","47.06","530","418","55.91","8","5","61.54","10.29","92.84","1.031","154","168","62","672","71.30","289","246","165","63.66"
"787","Tim Stützle","OTT","C","75","1183.2333333333","1302","1178","52.50","926","842","52.38","646","619","51.07","58","67","46.40","55.22","55.32","49.95","575","583","49.65","229","246","48.21","30","29","50.85","346","337","50.66","24","23","51.06","764","655","53.84","4","15","21.05","8.98","89.18","0.982","166","215","143","923","53.72","339","321","328","50.82"
"338","Marcus Pettersson","PIT","D","82","1548.3166666667","1698","1538","52.47","1229","1131","52.08","865","747","53.66","87","67","56.49","75.14","69.82","51.84","814","709","53.45","339","288","54.07","46","43","51.69","475","421","53.01","27","11","71.05","984","937","51.22","14","13","51.85","10.06","91.03","1.011","182","330","211","1012","46.31","496","555","518","48.92"
"136","Dylan McIlrath","WSH","D","3","30.9","32","29","52.46","24","17","58.54","15","10","60.00","1","0","100.00","1.31","0.71","64.86","11","10","52.38","4","5","44.44","1","0","100.00","7","5","58.33","0","0","-","20","21","48.78","0","0","-","6.67","100.00","1.067","0","5","4","38","0.00","8","7","11","42.11"
"371","Darren Raddysh","T.B","D","82","1383.75","1447","1313","52.43","1005","959","51.17","677","658","50.71","64","70","47.76","60.12","56.62","51.50","650","588","52.50","256","238","51.82","33","30","52.38","394","350","52.96","20","24","45.45","850","740","53.46","11","15","42.31","9.45","89.36","0.988","154","215","126","1133","55.00","402","380","312","56.30"
"414","Thomas Chabot","OTT","D","51","950.53333333333","1031","936","52.41","736","644","53.33","487","451","51.92","47","53","47.00","44.5","42.2","51.32","479","441","52.07","188","181","50.95","20","29","40.82","291","260","52.81","22","16","57.89","600","513","53.91","5","8","38.46","9.65","88.25","0.979","104","166","92","737","53.06","328","287","228","58.99"
"228","Teddy Blueger","VAN","C","68","831.23333333333","797","724","52.40","588","504","53.85","397","360","52.44","34","32","51.52","40.56","29.54","57.86","406","320","55.92","204","129","61.26","19","16","54.29","202","191","51.40","13","9","59.09","417","445","48.38","2","7","22.22","8.56","91.11","0.997","92","202","129","750","41.63","186","287","265","41.24"
"192","Yanni Gourde","SEA","C","80","1133.6666666667","1228","1117","52.37","846","828","50.54","565","548","50.76","36","46","43.90","49.62","45.92","51.94","554","508","52.17","217","186","53.85","26","23","53.06","337","322","51.14","5","16","23.81","702","675","50.98","5","7","41.67","6.37","91.61","0.980","150","267","162","784","48.08","312","345","322","49.21"
"473","Sam Steel","DAL","C","77","860.05","817","743","52.37","586","523","52.84","390","350","52.70","29","34","46.03","32.02","28.29","53.09","344","315","52.20","129","128","50.19","11","17","39.29","215","187","53.48","14","14","50.00","465","443","51.21","4","3","57.14","7.44","90.29","0.977","81","195","96","719","45.76","166","280","235","41.40"
